code,name
10,Gouvernement
15,Autre secteur public
21,ONG internationale
22,ONG nationale
23,ONG regionale
30,Partenariat public-privé
40,Multilatéral
60,Fondation
70,Secteur privé
80,"Universitaire, formation et recherche"
